Rank,Tier,Country,Region,HS950440 Import USD,Data Year,Data Status,Potential Trade Route,Demand /30,Trade /20,Fit /20,Logistics /15,Execution Readiness /15,Score /100,Product Focus,Country Positioning,Outreach Priority,Data Confidence,Recommended Wave
1,A,United Arab Emirates,GCC,12259189.0,2023.0,Reported imports,GAFTA - verify RoO/COO,30,19,20,15,14,98,BrandLab / Tourism / Premium Core,GCC distribution hub + custom branded decks,Very High,Medium,Wave 1
2,A,Saudi Arabia,GCC,7097270.0,2024.0,Reported imports,GAFTA - verify RoO/COO,30,19,19,14,14,96,Core / BrandLab / Ramadan,Arabic premium + corporate gifting + distributor volume,Very High,High,Wave 1
3,A,Kuwait,GCC,2707530.0,2024.0,Reported imports,GAFTA - verify RoO/COO,27,19,18,12,14,90,BrandLab / Premium Core,Premium gifting + specialty retail,Very High,High,Wave 1
4,A,Morocco,Africa,1260320.0,2024.0,Reported imports,Agadir / GAFTA - verify origin route,24,20,19,13,12,88,Tourism / Heritage / Core,Tourism + heritage + hotel/souvenir channels,High,High,Wave 1
5,A,Qatar,GCC,1117380.0,2024.0,Reported imports,GAFTA - verify RoO/COO,24,19,19,11,15,88,BrandLab / Hospitality,Luxury corporate + hospitality,High,High,Wave 1
6,A,South Africa,Africa,6395350.0,2024.0,Reported imports,AfCFTA - verify tariff schedule,30,10,19,15,12,86,Core / Private Label,Retail volume + Southern Africa hub,Very High,High,Wave 1
7,A,Oman,GCC,621420.0,2024.0,Reported imports,GAFTA - verify RoO/COO,21,19,18,12,14,84,Tourism / Premium Core,Tourism + premium standard + gifting,High,High,Wave 2
8,A,Kenya,Africa,542040.0,2024.0,Reported imports,COMESA / AfCFTA GTI - verify applicable route,21,17,18,14,10,80,Core / Tourism / Private Label,East Africa hub + wildlife/destination editions,High,High,Wave 2
9,A,Bahrain,GCC,340850.0,2024.0,Reported imports,GAFTA - verify RoO/COO,18,19,18,10,14,79,Premium Core / BrandLab,Premium niche + hospitality,High,High,Wave 2
10,A,Mauritius,Africa,239890.0,2024.0,Reported imports,COMESA / AfCFTA GTI - verify applicable route,18,17,20,10,12,77,Tourism / BrandLab,Resorts + tourism decks + premium gifts,High,High,Wave 2
11,A,Tanzania,Africa,853980.0,2024.0,Reported imports,AfCFTA GTI - verify tariff schedule,21,14,17,11,9,72,Tourism / Core,Zanzibar tourism + wholesale distribution,High,High,Wave 2
12,A,Uganda,Africa,989300.0,2024.0,Reported imports,COMESA - verify current preference,21,17,14,9,8,69,Core,Distributor-volume Bridge,High,High,Wave 2
13,B,Algeria,Africa,532770.0,2024.0,Reported imports,AfCFTA GTI - verify tariff schedule,21,14,15,10,9,69,Core / Heritage,Arabic/French localization + distributor,High,High,Wave 2
14,B,Ghana,Africa,231910.0,2024.0,Reported imports,AfCFTA GTI - verify tariff schedule,18,14,16,11,9,68,BrandLab / Core,Corporate brand decks + distributor,High,High,Wave 2
15,B,Tunisia,Africa,45060.0,2024.0,Reported imports,Agadir / COMESA / AfCFTA GTI - verify best route,9,20,17,11,10,67,Tourism / Heritage,Tourism + preferential regional route,Medium,High,Discovery
16,B,Seychelles,Africa,20420.0,2024.0,Reported imports,COMESA - verify current preference,9,17,20,7,13,66,Tourism,High-value resort souvenir niche,High,High,Discovery
17,B,Ethiopia,Africa,1661046.0,2023.0,Reported imports,COMESA; preference implementation requires verification,24,17,13,8,4,66,Core,Large demand signal; FX/import friction,Medium,Medium,Discovery
