Market Rank,Success Rank,Country,Region,Tier,HS950440 Import USD,Importer Category,Primary Buyer Roles,Language,Product Focus,Export Success Index %,Success Band,Data Confidence,Wave,Email Campaign,Email Subject,CTA,Opportunity Score /100,Metric Note,Search Keywords,Buyer Search Query EN,Buyer Search Query Local,Recommended Channels,Research Priority
2,1,Saudi Arabia,GCC,A,7097270.0,Private-Label / Corporate Gifting Importer,Owner / Import Manager / Marketing Director / Procurement,Arabic + English,Core / BrandLab / Ramadan,96,Priority A,High,Wave 1,Seasonal / Ramadan,52 moments for Ramadan,Request Ramadan visual direction,96,Internal export opportunity score; not a probability of sale,السعودية المملكة العربية السعودية KSA Saudi | Private-Label / Corporate Gifting Importer | private label corporate gifting promotional merchandise branded gifts procurement marketing | Owner / Import Manager / Marketing Director / Procurement | Core / BrandLab / Ramadan | Seasonal / Ramadan | Arabic + English | Wave 1 | Priority A,""Saudi Arabia" private label corporate gifting promotional merchandise branded gifts procurement marketing",مستورد كوتشينة ورق لعب موزع ألعاب هدايا دعائية السعودية,LinkedIn + Google Search + promotional merchandise directories + gifting agencies,Immediate validation
1,2,United Arab Emirates,GCC,A,12259189.0,Tourism / Souvenir Importer & Hospitality Supplier,Owner / Import Manager / Merchandise Buyer / Hotel Procurement,Arabic + English,BrandLab / Tourism / Premium Core,90,Priority A,Medium,Wave 1,Corporate BrandLab,52 branded touchpoints,Request a visual concept,90,Internal export opportunity score; not a probability of sale,الإمارات الامارات دبي ابوظبي أبوظبي UAE Dubai Abu Dhabi | Tourism / Souvenir Importer & Hospitality Supplier | tourism souvenir hotel resort hospitality gift shop duty free merchandise | Owner / Import Manager / Merchandise Buyer / Hotel Procurement | BrandLab / Tourism / Premium Core | Corporate BrandLab | Arabic + English | Wave 1 | Priority A,""United Arab Emirates" tourism souvenir hotel resort hospitality gift shop duty free merchandise",مستورد كوتشينة ورق لعب موزع ألعاب هدايا دعائية الإمارات,Google Search + LinkedIn + hotel/souvenir directories + tourism trade fairs,Immediate + evidence upgrade
3,2,Kuwait,GCC,A,2707530.0,Private-Label / Corporate Gifting Importer,Owner / Import Manager / Marketing Director / Procurement,Arabic + English,BrandLab / Premium Core,90,Priority A,High,Wave 1,Corporate BrandLab,52 branded touchpoints,Request a visual concept,90,Internal export opportunity score; not a probability of sale,الكويت Kuwait | Private-Label / Corporate Gifting Importer | private label corporate gifting promotional merchandise branded gifts procurement marketing | Owner / Import Manager / Marketing Director / Procurement | BrandLab / Premium Core | Corporate BrandLab | Arabic + English | Wave 1 | Priority A,""Kuwait" private label corporate gifting promotional merchandise branded gifts procurement marketing",مستورد كوتشينة ورق لعب موزع ألعاب هدايا دعائية الكويت,LinkedIn + Google Search + promotional merchandise directories + gifting agencies,Immediate validation
4,4,Morocco,Africa,A,1260320.0,Tourism / Souvenir Importer & Hospitality Supplier,Owner / Import Manager / Merchandise Buyer / Hotel Procurement,Arabic + French + English,Tourism / Heritage / Core,88,Priority A,High,Wave 1,Tourism / Souvenir,Put {{City}} in their pocket,Request a destination concept,88,Internal export opportunity score; not a probability of sale,المغرب Morocco Maroc | Tourism / Souvenir Importer & Hospitality Supplier | tourism souvenir hotel resort hospitality gift shop duty free merchandise | Owner / Import Manager / Merchandise Buyer / Hotel Procurement | Tourism / Heritage / Core | Tourism / Souvenir | Arabic + French + English | Wave 1 | Priority A,""Morocco" tourism souvenir hotel resort hospitality gift shop duty free merchandise",مستورد كوتشينة ورق لعب موزع ألعاب هدايا دعائية المغرب,Google Search + LinkedIn + hotel/souvenir directories + tourism trade fairs,Immediate validation
5,4,Qatar,GCC,A,1117380.0,Tourism / Souvenir Importer & Hospitality Supplier,Owner / Import Manager / Merchandise Buyer / Hotel Procurement,Arabic + English,BrandLab / Hospitality,88,Priority A,High,Wave 1,Corporate BrandLab,52 branded touchpoints,Request a visual concept,88,Internal export opportunity score; not a probability of sale,قطر Qatar | Tourism / Souvenir Importer & Hospitality Supplier | tourism souvenir hotel resort hospitality gift shop duty free merchandise | Owner / Import Manager / Merchandise Buyer / Hotel Procurement | BrandLab / Hospitality | Corporate BrandLab | Arabic + English | Wave 1 | Priority A,""Qatar" tourism souvenir hotel resort hospitality gift shop duty free merchandise",مستورد كوتشينة ورق لعب موزع ألعاب هدايا دعائية قطر,Google Search + LinkedIn + hotel/souvenir directories + tourism trade fairs,Immediate validation
6,6,South Africa,Africa,A,6395350.0,Private-Label / Corporate Gifting Importer,Owner / Import Manager / Marketing Director / Procurement,English,Core / Private Label,86,Priority A,High,Wave 1,Regional Supplier Alternative,A closer deck supplier,Send current specification,86,Internal export opportunity score; not a probability of sale,جنوب أفريقيا جنوب افريقيا South Africa | Private-Label / Corporate Gifting Importer | private label corporate gifting promotional merchandise branded gifts procurement marketing | Owner / Import Manager / Marketing Director / Procurement | Core / Private Label | Regional Supplier Alternative | English | Wave 1 | Priority A,""South Africa" private label corporate gifting promotional merchandise branded gifts procurement marketing",playing cards importer games distributor promotional gifts South Africa,LinkedIn + Google Search + promotional merchandise directories + gifting agencies,Immediate validation
7,7,Oman,GCC,A,621420.0,Tourism / Souvenir Importer & Hospitality Supplier,Owner / Import Manager / Merchandise Buyer / Hotel Procurement,Arabic + English,Tourism / Premium Core,84,Priority B,High,Wave 2,Distributor Acquisition,Playing cards for {{Country}},Reply SEND RANGE,84,Internal export opportunity score; not a probability of sale,عمان عُمان Oman | Tourism / Souvenir Importer & Hospitality Supplier | tourism souvenir hotel resort hospitality gift shop duty free merchandise | Owner / Import Manager / Merchandise Buyer / Hotel Procurement | Tourism / Premium Core | Distributor Acquisition | Arabic + English | Wave 2 | Priority B,""Oman" tourism souvenir hotel resort hospitality gift shop duty free merchandise",مستورد كوتشينة ورق لعب موزع ألعاب هدايا دعائية عمان,Google Search + LinkedIn + hotel/souvenir directories + tourism trade fairs,High
8,8,Kenya,Africa,A,542040.0,Tourism / Souvenir Importer & Hospitality Supplier,Owner / Import Manager / Merchandise Buyer / Hotel Procurement,English,Core / Tourism / Private Label,80,Priority B,High,Wave 2,Regional Supplier Alternative,A closer deck supplier,Send current specification,80,Internal export opportunity score; not a probability of sale,كينيا Kenya | Tourism / Souvenir Importer & Hospitality Supplier | tourism souvenir hotel resort hospitality gift shop duty free merchandise | Owner / Import Manager / Merchandise Buyer / Hotel Procurement | Core / Tourism / Private Label | Regional Supplier Alternative | English | Wave 2 | Priority B,""Kenya" tourism souvenir hotel resort hospitality gift shop duty free merchandise",playing cards importer games distributor promotional gifts Kenya,Google Search + LinkedIn + hotel/souvenir directories + tourism trade fairs,High
9,9,Bahrain,GCC,A,340850.0,Private-Label / Corporate Gifting Importer,Owner / Import Manager / Marketing Director / Procurement,Arabic + English,Premium Core / BrandLab,79,Priority B,High,Wave 2,Corporate BrandLab,52 branded touchpoints,Request a visual concept,79,Internal export opportunity score; not a probability of sale,البحرين Bahrain | Private-Label / Corporate Gifting Importer | private label corporate gifting promotional merchandise branded gifts procurement marketing | Owner / Import Manager / Marketing Director / Procurement | Premium Core / BrandLab | Corporate BrandLab | Arabic + English | Wave 2 | Priority B,""Bahrain" private label corporate gifting promotional merchandise branded gifts procurement marketing",مستورد كوتشينة ورق لعب موزع ألعاب هدايا دعائية البحرين,LinkedIn + Google Search + promotional merchandise directories + gifting agencies,High
10,10,Mauritius,Africa,A,239890.0,Tourism / Souvenir Importer & Hospitality Supplier,Owner / Import Manager / Merchandise Buyer / Hotel Procurement,English,Tourism / BrandLab,77,Priority B,High,Wave 2,Tourism / Souvenir,Put {{City}} in their pocket,Request a destination concept,77,Internal export opportunity score; not a probability of sale,موريشيوس Mauritius | Tourism / Souvenir Importer & Hospitality Supplier | tourism souvenir hotel resort hospitality gift shop duty free merchandise | Owner / Import Manager / Merchandise Buyer / Hotel Procurement | Tourism / BrandLab | Tourism / Souvenir | English | Wave 2 | Priority B,""Mauritius" tourism souvenir hotel resort hospitality gift shop duty free merchandise",playing cards importer games distributor promotional gifts Mauritius,Google Search + LinkedIn + hotel/souvenir directories + tourism trade fairs,High
